kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,20533.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA/LAINNYA,47816.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,706.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,706.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,101.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,25218.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,24613.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,15030.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,108537.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,79386.0,UNIT,2018
